序号,分类,子分类,违禁词/用语,风险等级,说明/备注
286,疑似医疗用语,皮肤病/癣类,脓疱,高,普通商品禁用医疗用语，违反广告法
287,疑似医疗用语,皮肤病/癣类,手癣,高,普通商品禁用医疗用语，违反广告法
288,疑似医疗用语,皮肤病/癣类,甲癣,高,普通商品禁用医疗用语，违反广告法
289,疑似医疗用语,皮肤病/癣类,体癣,高,普通商品禁用医疗用语，违反广告法
290,疑似医疗用语,皮肤病/癣类,头癣,高,普通商品禁用医疗用语，违反广告法
291,疑似医疗用语,皮肤病/癣类,股癣,高,普通商品禁用医疗用语，违反广告法
292,疑似医疗用语,皮肤病/癣类,脚癣,高,普通商品禁用医疗用语，违反广告法
293,疑似医疗用语,皮肤病/癣类,脚气,高,普通商品禁用医疗用语，违反广告法
294,疑似医疗用语,皮肤病/癣类,鹅掌癣,高,普通商品禁用医疗用语，违反广告法
295,疑似医疗用语,皮肤病/癣类,花斑癣,高,普通商品禁用医疗用语，违反广告法
296,疑似医疗用语,皮肤病/癣类,牛皮癣,高,普通商品禁用医疗用语，违反广告法
297,疑似医疗用语,皮肤病/癣类,传染性湿疹,高,普通商品禁用医疗用语，违反广告法
298,疑似医疗用语,常见病症,伤风感冒,高,普通商品禁用医疗用语，违反广告法
299,疑似医疗用语,常见病症,经痛,高,普通商品禁用医疗用语，违反广告法
300,疑似医疗用语,常见病症,肌痛,高,普通商品禁用医疗用语，违反广告法
301,疑似医疗用语,常见病症,头痛,高,普通商品禁用医疗用语，违反广告法
302,疑似医疗用语,常见病症,腹痛,高,普通商品禁用医疗用语，违反广告法
303,疑似医疗用语,常见病症,便秘,高,普通商品禁用医疗用语，违反广告法
304,疑似医疗用语,常见病症,哮喘,高,普通商品禁用医疗用语，违反广告法
305,疑似医疗用语,常见病症,支气管炎,高,普通商品禁用医疗用语，违反广告法
306,疑似医疗用语,常见病症,消化不良,高,普通商品禁用医疗用语，违反广告法
307,疑似医疗用语,外伤/感染,刀伤,高,普通商品禁用医疗用语，违反广告法
308,疑似医疗用语,外伤/感染,烧伤,高,普通商品禁用医疗用语，违反广告法
309,疑似医疗用语,外伤/感染,烫伤,高,普通商品禁用医疗用语，违反广告法
310,疑似医疗用语,外伤/感染,疮痈,高,普通商品禁用医疗用语，违反广告法
311,疑似医疗用语,外伤/感染,毛囊炎,高,普通商品禁用医疗用语，违反广告法
312,疑似医疗用语,外伤/感染,皮肤感染,高,普通商品禁用医疗用语，违反广告法
313,疑似医疗用语,外伤/感染,皮肤面部痉挛,高,普通商品禁用医疗用语，违反广告法
314,疑似医疗用语,微生物/痤疮,细菌,高,普通商品禁用医疗用语，违反广告法
315,疑似医疗用语,微生物/痤疮,真菌,高,普通商品禁用医疗用语，违反广告法
316,疑似医疗用语,微生物/痤疮,念珠菌,高,普通商品禁用医疗用语，违反广告法
317,疑似医疗用语,微生物/痤疮,糠秕孢子菌,高,普通商品禁用医疗用语，违反广告法
318,疑似医疗用语,微生物/痤疮,厌氧菌,高,普通商品禁用医疗用语，违反广告法
319,疑似医疗用语,微生物/痤疮,牙孢菌,高,普通商品禁用医疗用语，违反广告法
320,疑似医疗用语,微生物/痤疮,痤疮,高,普通商品禁用医疗用语，违反广告法
321,疑似医疗用语,微生物/痤疮,毛囊寄生虫,高,普通商品禁用医疗用语，违反广告法
322,疑似医疗用语,激素/抗生素,雌性激素,高,普通商品禁用医疗用语，违反广告法
323,疑似医疗用语,激素/抗生素,雄性激素,高,普通商品禁用医疗用语，违反广告法
324,疑似医疗用语,激素/抗生素,荷尔蒙,高,普通商品禁用医疗用语，违反广告法
325,疑似医疗用语,激素/抗生素,抗生素,高,普通商品禁用医疗用语，违反广告法
326,疑似医疗用语,激素/抗生素,激素,高,普通商品禁用医疗用语，违反广告法
327,疑似医疗用语,药物/中草药,药物,高,普通商品禁用医疗用语，违反广告法
328,疑似医疗用语,药物/中草药,中草药,高,普通商品禁用医疗用语，违反广告法
329,疑似医疗用语,药物/中草药,中枢神经,高,普通商品禁用医疗用语，违反广告法
330,疑似医疗用语,细胞/免疫,细胞再生,高,普通商品禁用医疗用语，违反广告法
331,疑似医疗用语,细胞/免疫,细胞增殖和分化,高,普通商品禁用医疗用语，违反广告法
332,疑似医疗用语,细胞/免疫,免疫力,高,普通商品禁用医疗用语，违反广告法
333,疑似医疗用语,细胞/免疫,患处,高,普通商品禁用医疗用语，违反广告法
334,疑似医疗用语,细胞/免疫,疤痕,高,普通商品禁用医疗用语，违反广告法
335,疑似医疗用语,细胞/免疫,关节痛,高,普通商品禁用医疗用语，违反广告法
336,疑似医疗用语,细胞/免疫,冻疮,高,普通商品禁用医疗用语，违反广告法
337,疑似医疗用语,细胞/免疫,冻伤,高,普通商品禁用医疗用语，违反广告法
338,疑似医疗用语,微循环/淋巴,皮肤细胞间的氧气交换,高,普通商品禁用医疗用语，违反广告法
339,疑似医疗用语,微循环/淋巴,红肿,高,普通商品禁用医疗用语，违反广告法
340,疑似医疗用语,微循环/淋巴,淋巴液,高,普通商品禁用医疗用语，违反广告法
341,疑似医疗用语,微循环/淋巴,毛细血管,高,普通商品禁用医疗用语，违反广告法
342,疑似医疗用语,微循环/淋巴,淋巴毒,高,普通商品禁用医疗用语，违反广告法
343,化妆品虚假宣传,化妆品功效夸大,特效,高,化妆品禁止使用的虚假宣传用语
344,化妆品虚假宣传,化妆品功效夸大,高效,高,化妆品禁止使用的虚假宣传用语
345,化妆品虚假宣传,化妆品功效夸大,全效,高,化妆品禁止使用的虚假宣传用语
346,化妆品虚假宣传,化妆品功效夸大,强效,高,化妆品禁止使用的虚假宣传用语
347,化妆品虚假宣传,化妆品功效夸大,速效,高,化妆品禁止使用的虚假宣传用语
348,化妆品虚假宣传,化妆品功效夸大,速白,高,化妆品禁止使用的虚假宣传用语
349,化妆品虚假宣传,化妆品功效夸大,一洗白,高,化妆品禁止使用的虚假宣传用语
350,化妆品虚假宣传,化妆品功效夸大,超强,高,化妆品禁止使用的虚假宣传用语
351,化妆品虚假宣传,化妆品功效夸大,激活,高,化妆品禁止使用的虚假宣传用语
352,化妆品虚假宣传,化妆品功效夸大,安全,高,化妆品禁止使用的虚假宣传用语
353,化妆品虚假宣传,化妆品功效夸大,无毒,高,化妆品禁止使用的虚假宣传用语
354,化妆品虚假宣传,化妆品功效夸大,溶脂,高,化妆品禁止使用的虚假宣传用语
355,化妆品虚假宣传,化妆品功效夸大,吸脂,高,化妆品禁止使用的虚假宣传用语
356,化妆品虚假宣传,化妆品功效夸大,燃烧脂肪,高,化妆品禁止使用的虚假宣传用语
357,化妆品虚假宣传,化妆品功效夸大,瘦身,高,化妆品禁止使用的虚假宣传用语
358,化妆品虚假宣传,化妆品功效夸大,瘦脸,高,化妆品禁止使用的虚假宣传用语
359,化妆品虚假宣传,化妆品功效夸大,瘦腿,高,化妆品禁止使用的虚假宣传用语
360,化妆品虚假宣传,化妆品功效夸大,减肥,高,化妆品禁止使用的虚假宣传用语
361,化妆品虚假宣传,化妆品功效夸大,延年益寿,高,化妆品禁止使用的虚假宣传用语
362,化妆品虚假宣传,化妆品功效夸大,提高记忆力,高,化妆品禁止使用的虚假宣传用语
363,化妆品虚假宣传,化妆品功效夸大,消除,高,化妆品禁止使用的虚假宣传用语
364,化妆品虚假宣传,化妆品功效夸大,清除,高,化妆品禁止使用的虚假宣传用语
365,化妆品虚假宣传,化妆品功效夸大,化解死细胞,高,化妆品禁止使用的虚假宣传用语
366,化妆品虚假宣传,化妆品功效夸大,去除皱纹,高,化妆品禁止使用的虚假宣传用语
367,化妆品虚假宣传,化妆品功效夸大,祛除皱纹,高,化妆品禁止使用的虚假宣传用语
368,化妆品虚假宣传,化妆品功效夸大,平皱,高,化妆品禁止使用的虚假宣传用语
369,化妆品虚假宣传,化妆品功效夸大,修复断裂弹性纤维,高,化妆品禁止使用的虚假宣传用语
370,化妆品虚假宣传,化妆品功效夸大,止脱,高,化妆品禁止使用的虚假宣传用语
371,化妆品虚假宣传,化妆品功效夸大,破坏黑色素细胞,高,化妆品禁止使用的虚假宣传用语
372,化妆品虚假宣传,化妆品功效夸大,阻断黑色素的形成,高,化妆品禁止使用的虚假宣传用语
373,化妆品虚假宣传,化妆品功效夸大,丰乳,高,化妆品禁止使用的虚假宣传用语
374,化妆品虚假宣传,化妆品功效夸大,丰胸,高,化妆品禁止使用的虚假宣传用语
375,化妆品虚假宣传,化妆品功效夸大,使乳房丰满,高,化妆品禁止使用的虚假宣传用语
376,化妆品虚假宣传,化妆品功效夸大,预防乳房松弛下垂,高,化妆品禁止使用的虚假宣传用语
377,化妆品虚假宣传,化妆品功效夸大,改善睡眠,高,化妆品禁止使用的虚假宣传用语
378,化妆品虚假宣传,化妆品功效夸大,促进睡眠,高,化妆品禁止使用的虚假宣传用语
379,化妆品虚假宣传,化妆品功效夸大,舒眠,高,化妆品禁止使用的虚假宣传用语
380,化妆品虚假宣传,特殊化妆品违禁,美容针,高,涉及医疗美容，普通化妆品禁用
381,化妆品虚假宣传,特殊化妆品违禁,瘦脸针,高,涉及医疗美容，普通化妆品禁用
382,化妆品虚假宣传,特殊化妆品违禁,美白针,高,涉及医疗美容，普通化妆品禁用
383,化妆品虚假宣传,特殊化妆品违禁,溶脂针,高,涉及医疗美容，普通化妆品禁用
384,化妆品虚假宣传,特殊化妆品违禁,玻尿酸填充（无医疗许可）,高,涉及医疗美容，普通化妆品禁用
385,化妆品虚假宣传,特殊化妆品违禁,激素脸修复霜,高,涉及医疗美容，普通化妆品禁用
386,迷信用语,封建迷信用语,带来好运气,中,涉嫌宣传封建迷信
387,迷信用语,封建迷信用语,增强第六感,中,涉嫌宣传封建迷信
388,迷信用语,封建迷信用语,化解小人,中,涉嫌宣传封建迷信
389,迷信用语,封建迷信用语,增加事业运,中,涉嫌宣传封建迷信
390,迷信用语,封建迷信用语,招财进宝,中,涉嫌宣传封建迷信
391,迷信用语,封建迷信用语,健康富贵,中,涉嫌宣传封建迷信
392,迷信用语,封建迷信用语,提升运气,中,涉嫌宣传封建迷信
393,迷信用语,封建迷信用语,有助事业,中,涉嫌宣传封建迷信
394,迷信用语,封建迷信用语,护身,中,涉嫌宣传封建迷信
395,迷信用语,封建迷信用语,平衡正负能量,中,涉嫌宣传封建迷信
396,迷信用语,封建迷信用语,消除精神压力,中,涉嫌宣传封建迷信
397,迷信用语,封建迷信用语,调和气压,中,涉嫌宣传封建迷信
398,迷信用语,封建迷信用语,逢凶化吉,中,涉嫌宣传封建迷信
399,迷信用语,封建迷信用语,时来运转,中,涉嫌宣传封建迷信
400,迷信用语,封建迷信用语,万事亨通,中,涉嫌宣传封建迷信
401,迷信用语,封建迷信用语,旺人,中,涉嫌宣传封建迷信
402,迷信用语,封建迷信用语,旺财,中,涉嫌宣传封建迷信
403,迷信用语,封建迷信用语,助吉避凶,中,涉嫌宣传封建迷信
404,迷信用语,封建迷信用语,转富招福,中,涉嫌宣传封建迷信
405,迷信用语,封建迷信用语,算命,中,涉嫌宣传封建迷信
406,迷信用语,封建迷信用语,算八字,中,涉嫌宣传封建迷信
407,迷信用语,封建迷信用语,运势,中,涉嫌宣传封建迷信
408,金融投资违禁词,金融投资宣传,收益率,高,涉嫌违规金融宣传，误导投资
409,金融投资违禁词,金融投资宣传,投资回报,高,涉嫌违规金融宣传，误导投资
410,金融投资违禁词,金融投资宣传,保底收益,高,涉嫌违规金融宣传，误导投资
411,金融投资违禁词,金融投资宣传,返本销售,高,涉嫌违规金融宣传，误导投资
412,金融投资违禁词,金融投资宣传,无风险回报,高,涉嫌违规金融宣传，误导投资
413,金融投资违禁词,金融投资宣传,快速回报,高,涉嫌违规金融宣传，误导投资
414,金融投资违禁词,金融投资宣传,高收益回报,高,涉嫌违规金融宣传，误导投资
415,金融投资违禁词,金融投资宣传,升值,高,涉嫌违规金融宣传，误导投资
416,金融投资违禁词,金融投资宣传,众筹,高,涉嫌违规金融宣传，误导投资
417,金融投资违禁词,金融投资宣传,100%本息保障,高,涉嫌违规金融宣传，误导投资
418,金融投资违禁词,金融投资宣传,100%胜率,高,涉嫌违规金融宣传，误导投资
419,金融投资违禁词,金融投资宣传,无风险,高,涉嫌违规金融宣传，误导投资
420,金融投资违禁词,金融投资宣传,保值增值,高,涉嫌违规金融宣传，误导投资
421,金融投资违禁词,金融投资宣传,本息安心,高,涉嫌违规金融宣传，误导投资
422,金融投资违禁词,金融投资宣传,稳赚,高,涉嫌违规金融宣传，误导投资
423,导流/竞品违禁词,导流/竞品提及,淘宝,高,站外导流行为，直接限流或删除
424,导流/竞品违禁词,导流/竞品提及,天猫,高,站外导流行为，直接限流或删除
425,导流/竞品违禁词,导流/竞品提及,天猫旗舰店,高,站外导流行为，直接限流或删除
426,导流/竞品违禁词,导流/竞品提及,京东,高,站外导流行为，直接限流或删除
427,导流/竞品违禁词,导流/竞品提及,得物,高,站外导流行为，直接限流或删除
428,导流/竞品违禁词,导流/竞品提及,B站,高,站外导流行为，直接限流或删除
429,导流/竞品违禁词,导流/竞品提及,微博,高,站外导流行为，直接限流或删除
430,导流/竞品违禁词,导流/竞品提及,抖音,高,站外导流行为，直接限流或删除
431,导流/竞品违禁词,导流/竞品提及,TikTok,高,站外导流行为，直接限流或删除
432,导流/竞品违禁词,导流/竞品提及,猫狗（淘宝京东代称）,高,站外导流行为，直接限流或删除
433,导流/竞品违禁词,导流/竞品提及,小破站（B站代称）,高,站外导流行为，直接限流或删除
434,导流/竞品违禁词,导流/竞品提及,二维码展示,高,站外导流行为，直接限流或删除
435,导流/竞品违禁词,导流/竞品提及,微信号,高,站外导流行为，直接限流或删除
436,导流/竞品违禁词,导流/竞品提及,QQ号,高,站外导流行为，直接限流或删除
437,导流/竞品违禁词,导流/竞品提及,加微信,高,站外导流行为，直接限流或删除
438,导流/竞品违禁词,导流/竞品提及,私信获取,高,站外导流行为，直接限流或删除
439,导流/竞品违禁词,导流/竞品提及,详情见评论,高,站外导流行为，直接限流或删除
440,医疗广告违禁词,医疗广告用语,当天就见效,高,违反医疗广告管理办法
441,医疗广告违禁词,医疗广告用语,治愈率为XX%,高,违反医疗广告管理办法
442,医疗广告违禁词,医疗广告用语,轻松告别,高,违反医疗广告管理办法
443,医疗广告违禁词,医疗广告用语,延长生命,高,违反医疗广告管理办法
444,医疗广告违禁词,医疗广告用语,医疗水平最高,高,违反医疗广告管理办法
445,医疗广告违禁词,医疗广告用语,更安全,高,违反医疗广告管理办法
446,医疗广告违禁词,医疗广告用语,恢复快,高,违反医疗广告管理办法
447,医疗广告违禁词,医疗广告用语,零事故,高,违反医疗广告管理办法
448,医疗广告违禁词,医疗广告用语,零担忧,高,违反医疗广告管理办法
449,医疗广告违禁词,医疗广告用语,完全清除,高,违反医疗广告管理办法
450,医疗广告违禁词,医疗广告用语,一次性治愈不复发,高,违反医疗广告管理办法
451,医疗广告违禁词,医疗广告用语,无一人复发,高,违反医疗广告管理办法
452,医疗广告违禁词,医疗广告用语,全部康复,高,违反医疗广告管理办法
453,医疗广告违禁词,医疗广告用语,彻底消除,高,违反医疗广告管理办法
454,医疗广告违禁词,医疗广告用语,显著改善,高,违反医疗广告管理办法
455,教育培训广告违禁词,教育培训宣传,记忆效率提升百倍,高,涉嫌虚假教育培训宣传
456,教育培训广告违禁词,教育培训宣传,成绩飞跃,高,涉嫌虚假教育培训宣传
457,教育培训广告违禁词,教育培训宣传,过目不忘,高,涉嫌虚假教育培训宣传
458,教育培训广告违禁词,教育培训宣传,7天记住永不忘,高,涉嫌虚假教育培训宣传
459,教育培训广告违禁词,教育培训宣传,通过率XX%,高,涉嫌虚假教育培训宣传
460,教育培训广告违禁词,教育培训宣传,高分王者,高,涉嫌虚假教育培训宣传
461,教育培训广告违禁词,教育培训宣传,名列前茅,高,涉嫌虚假教育培训宣传
462,教育培训广告违禁词,教育培训宣传,百分百高薪就业,高,涉嫌虚假教育培训宣传
463,教育培训广告违禁词,教育培训宣传,国家承认,高,涉嫌虚假教育培训宣传
464,教育培训广告违禁词,教育培训宣传,命题专家联手,高,涉嫌虚假教育培训宣传
465,教育培训广告违禁词,教育培训宣传,圈定考试范围,高,涉嫌虚假教育培训宣传
466,教育培训广告违禁词,教育培训宣传,通往北大清华的金钥匙,高,涉嫌虚假教育培训宣传
467,房产类违禁词,极限词（房产专属）,全网第一,高,房产广告中的极限词，违反广告法第9条
468,房产类违禁词,极限词（房产专属）,市场唯一,高,房产广告中的极限词，违反广告法第9条
469,房产类违禁词,极限词（房产专属）,最高端,高,房产广告中的极限词，违反广告法第9条
470,房产类违禁词,极限词（房产专属）,极品楼盘,高,房产广告中的极限词，违反广告法第9条
471,房产类违禁词,极限词（房产专属）,鼎冠,高,房产广告中的极限词，违反广告法第9条
472,房产类违禁词,极限词（房产专属）,顶级豪宅,高,房产广告中的极限词，违反广告法第9条
473,房产类违禁词,极限词（房产专属）,城市第一高楼,高,房产广告中的极限词，违反广告法第9条
474,房产类违禁词,极限词（房产专属）,销量冠军,高,房产广告中的极限词，违反广告法第9条
475,房产类违禁词,极限词（房产专属）,独家房源,高,房产广告中的极限词，违反广告法第9条
476,房产类违禁词,极限词（房产专属）,绝版户型,高,房产广告中的极限词，违反广告法第9条
477,房产类违禁词,极限词（房产专属）,空前绝后,高,房产广告中的极限词，违反广告法第9条
478,房产类违禁词,极限词（房产专属）,王牌楼盘,高,房产广告中的极限词，违反广告法第9条
479,房产类违禁词,极限词（房产专属）,顶级配套,高,房产广告中的极限词，违反广告法第9条
480,房产类违禁词,极限词（房产专属）,史上最低价,高,房产广告中的极限词，违反广告法第9条
481,房产类违禁词,极限词（房产专属）,最划算,高,房产广告中的极限词，违反广告法第9条
482,房产类违禁词,投资回报/升值承诺,升值空间巨大,高,广告法第26条明确禁止含升值或投资回报承诺
483,房产类违禁词,投资回报/升值承诺,投资回报率保证,高,广告法第26条明确禁止含升值或投资回报承诺
484,房产类违禁词,投资回报/升值承诺,年回报率高达XX%,高,广告法第26条明确禁止含升值或投资回报承诺
485,房产类违禁词,投资回报/升值承诺,热销必升值,高,广告法第26条明确禁止含升值或投资回报承诺
486,房产类违禁词,投资回报/升值承诺,一年净赚百万,高,广告法第26条明确禁止含升值或投资回报承诺
487,房产类违禁词,投资回报/升值承诺,多重钱景保障,高,广告法第26条明确禁止含升值或投资回报承诺
488,房产类违禁词,投资回报/升值承诺,买到即赚到,高,广告法第26条明确禁止含升值或投资回报承诺
489,房产类违禁词,投资回报/升值承诺,升值潜力无限,高,广告法第26条明确禁止含升值或投资回报承诺
490,房产类违禁词,投资回报/升值承诺,保值增值,高,广告法第26条明确禁止含升值或投资回报承诺
491,房产类违禁词,投资回报/升值承诺,稳赚不赔,高,广告法第26条明确禁止含升值或投资回报承诺
492,房产类违禁词,融资/众筹类,内部认购,高,房产广告不得出现融资或变相融资内容
493,房产类违禁词,融资/众筹类,众筹买房,高,房产广告不得出现融资或变相融资内容
494,房产类违禁词,融资/众筹类,内部融资,高,房产广告不得出现融资或变相融资内容
495,房产类违禁词,融资/众筹类,变相融资,高,房产广告不得出现融资或变相融资内容
496,房产类违禁词,融资/众筹类,购房后返租,高,房产广告不得出现融资或变相融资内容
497,房产类违禁词,融资/众筹类,合伙买房,高,房产广告不得出现融资或变相融资内容
498,房产类违禁词,融资/众筹类,返租保底,高,房产广告不得出现融资或变相融资内容
499,房产类违禁词,学区/户口/就业承诺,学区房,高,广告法第18条禁止承诺办理户口、就业、升学等事项
500,房产类违禁词,学区/户口/就业承诺,学位房,高,广告法第18条禁止承诺办理户口、就业、升学等事项
501,房产类违禁词,学区/户口/就业承诺,带XX学校学位,高,广告法第18条禁止承诺办理户口、就业、升学等事项
502,房产类违禁词,学区/户口/就业承诺,尽享公立学校,高,广告法第18条禁止承诺办理户口、就业、升学等事项
503,房产类违禁词,学区/户口/就业承诺,项目自带教育资源,高,广告法第18条禁止承诺办理户口、就业、升学等事项
504,房产类违禁词,学区/户口/就业承诺,直升名校,高,广告法第18条禁止承诺办理户口、就业、升学等事项
505,房产类违禁词,学区/户口/就业承诺,买房送学位,高,广告法第18条禁止承诺办理户口、就业、升学等事项
506,房产类违禁词,学区/户口/就业承诺,锁定学位,高,广告法第18条禁止承诺办理户口、就业、升学等事项
507,房产类违禁词,学区/户口/就业承诺,承诺入读,高,广告法第18条禁止承诺办理户口、就业、升学等事项
508,房产类违禁词,学区/户口/就业承诺,办理户口,高,广告法第18条禁止承诺办理户口、就业、升学等事项
509,房产类违禁词,学区/户口/就业承诺,就业保障,高,广告法第18条禁止承诺办理户口、就业、升学等事项
510,房产类违禁词,学区/户口/就业承诺,入住即落户,高,广告法第18条禁止承诺办理户口、就业、升学等事项
511,房产类违禁词,具体距离/时间表述,距地铁口5分钟,高,广告法第26条禁止以到达参照物所需时间表示位置
512,房产类违禁词,具体距离/时间表述,距XX学校100米,高,广告法第26条禁止以到达参照物所需时间表示位置
513,房产类违禁词,具体距离/时间表述,距国贸30分钟,高,广告法第26条禁止以到达参照物所需时间表示位置
514,房产类违禁词,具体距离/时间表述,步行3分钟到地铁,高,广告法第26条禁止以到达参照物所需时间表示位置
515,房产类违禁词,具体距离/时间表述,开车20分钟到机场,高,广告法第26条禁止以到达参照物所需时间表示位置
516,房产类违禁词,具体距离/时间表述,近地铁XX米,高,广告法第26条禁止以到达参照物所需时间表示位置
517,房产类违禁词,政府/规划背书类,国家重点扶持项目,高,不得宣传国家规划区域，不得编造政策信息
518,房产类违禁词,政府/规划背书类,国家规划项目,高,不得宣传国家规划区域，不得编造政策信息
519,房产类违禁词,政府/规划背书类,国家规划区域,高,不得宣传国家规划区域，不得编造政策信息
520,房产类违禁词,政府/规划背书类,政府重点开发区,高,不得宣传国家规划区域，不得编造政策信息
521,房产类违禁词,政府/规划背书类,编造新政,高,不得宣传国家规划区域，不得编造政策信息
522,房产类违禁词,政府/规划背书类,最新政策利好,高,不得宣传国家规划区域，不得编造政策信息
523,房产类违禁词,政府/规划背书类,内部消息,高,不得宣传国家规划区域，不得编造政策信息
524,房产类违禁词,价格虚假/误导类,史上最低价,高,虚假价格宣传，误导消费者
525,房产类违禁词,价格虚假/误导类,跳楼价,高,虚假价格宣传，误导消费者
526,房产类违禁词,价格虚假/误导类,价格腰斩,高,虚假价格宣传，误导消费者
527,房产类违禁词,价格虚假/误导类,零首付,高,虚假价格宣传，误导消费者
528,房产类违禁词,价格虚假/误导类,0首付,高,虚假价格宣传，误导消费者
529,房产类违禁词,价格虚假/误导类,内部价,高,虚假价格宣传，误导消费者
530,房产类违禁词,价格虚假/误导类,员工价,高,虚假价格宣传，误导消费者
531,房产类违禁词,价格虚假/误导类,不限购（实际限购时）,高,虚假价格宣传，误导消费者
532,房产类违禁词,价格虚假/误导类,无需首付,高,虚假价格宣传，误导消费者
533,房产类违禁词,房屋用途混淆类,商住两用（非居住用地）,高,不得将商业性质房产宣传为住宅
534,房产类违禁词,房屋用途混淆类,酒店式公寓（商业性质）,高,不得将商业性质房产宣传为住宅
535,房产类违禁词,房屋用途混淆类,类住宅,高,不得将商业性质房产宣传为住宅
536,房产类违禁词,房屋用途混淆类,公寓（实为办公）,高,不得将商业性质房产宣传为住宅
537,房产类违禁词,风水/迷信类（房产）,风水宝地,中,房产广告不得含风水、占卜等封建迷信内容
538,房产类违禁词,风水/迷信类（房产）,旺财旺丁,中,房产广告不得含风水、占卜等封建迷信内容
539,房产类违禁词,风水/迷信类（房产）,聚气藏风,中,房产广告不得含风水、占卜等封建迷信内容
540,房产类违禁词,风水/迷信类（房产）,坐北朝南旺运,中,房产广告不得含风水、占卜等封建迷信内容
541,房产类违禁词,风水/迷信类（房产）,招财格局,中,房产广告不得含风水、占卜等封建迷信内容
542,房产类违禁词,风水/迷信类（房产）,龙脉所在,中,房产广告不得含风水、占卜等封建迷信内容
543,房产类违禁词,风水/迷信类（房产）,镇宅化煞,中,房产广告不得含风水、占卜等封建迷信内容
544,房产类违禁词,房价涨跌预测类,房价必涨,高,未经证实的房价涨跌预测，涉嫌误导消费者
545,房产类违禁词,房价涨跌预测类,明年价格翻倍,高,未经证实的房价涨跌预测，涉嫌误导消费者
546,房产类违禁词,房价涨跌预测类,楼市即将爆发,高,未经证实的房价涨跌预测，涉嫌误导消费者
547,房产类违禁词,房价涨跌预测类,错过就亏了,高,未经证实的房价涨跌预测，涉嫌误导消费者
548,房产类违禁词,房价涨跌预测类,现在买最划算,高,未经证实的房价涨跌预测，涉嫌误导消费者
549,房产类违禁词,预售装修类,精装修（预售广告）,高,预售/预租商品房广告不得涉及装修装饰内容
550,房产类违禁词,预售装修类,豪华装修效果图（未竣工）,高,预售/预租商品房广告不得涉及装修装饰内容
551,房产类违禁词,预售装修类,样板间效果即交付标准,高,预售/预租商品房广告不得涉及装修装饰内容
,,,,,
数据来源：广告法(2015修订)、房地产广告发布规定、深圳市场监管局合规指引、数英网、Reditor编辑器、句无忧(check51.com) 2025-2026年汇编,,,,,