序号,违规类型,具体描述,处罚后果,正确做法
1,虚构体验,伪造或盗用他人体验，编造使用感受、盗用他人图文,笔记删除、账号警告、严重者封号,只分享真实使用体验，标注真实信息来源
2,夸大其词,使用磨皮/滤镜/美颜不真实展现产品效果,笔记限流或审核不通过,展示产品真实效果，减少过度后期处理
3,低质创作,内容质量低、信息量少、缺乏价值,笔记限流、推荐量降低,提供有价值的内容，图文并茂，信息充实
4,笔记过度P图,对产品图片进行过度修饰，失真严重,限流或审核不通过,保持产品图片真实性，适度调色即可
5,素材搬运,3个月内重复发布相同内容，系统会降权,系统降权、推荐量骤降,创作原创内容，避免重复搬运
6,诱导行为,利益诱导点赞、评论、收藏（如点赞抽奖）,笔记删除、账号降权,通过优质内容自然获取互动
7,导流行为,引导站外交易，如留微信号、淘宝链接,笔记删除、账号封禁,使用小红书官方交易渠道
8,拉踩行为,恶意贬低其他品牌或博主以抬高自己,笔记删除、账号警告,客观对比，不恶意攻击竞品
9,炫富内容,过度展示奢侈消费、炫耀财富,限流或删除,分享有价值的生活方式，避免纯粹炫富
10,网络暴力,恶意攻击、辱骂、人身攻击他人,删除+封号,文明交流，尊重他人
11,AI生成内容未标注,使用AI生成内容但未进行标注,审核不通过、限流,AI生成内容必须明确标注
12,内容字数不达标,普通笔记少于100字，教程/测评类少于600字,推荐量降低,普通笔记至少100字，教程/测评类600字以上
13,私聊超限,每天主动私聊超过50人,账号功能受限,每天主动私聊不超过50人
14,敏感话题未声明,涉及敏感话题未标注个人观点,审核不通过,需注明【个人观点，仅供参考】
15,房产无资质发布,无房产中介资质账号发布房产营销内容,笔记删除、账号封禁,认证企业号，提供资质证明后方可发布
16,房产KOS违规推广,挂靠他人资质发布房产推广内容,永久冻结账号及广告账户,自行完成企业号认证，不得挂靠他人资质
17,房产引流私域,在评论或私信中留电话、微信号引流,笔记删除、封号,通过小红书官方渠道咨询，不得引流至私域
,,,,
数据来源：广告法(2015修订)、房地产广告发布规定、深圳市场监管局合规指引、数英网、Reditor编辑器、句无忧(check51.com) 2025-2026年汇编,,,,